source,target,type,weight
32660008,138348596,Directed,1
67318883,138348596,Directed,1
533536556,138348596,Directed,1
231187264,138348596,Directed,1
630367566,138348596,Directed,1
1524419966,138348596,Directed,1
108036479,138348596,Directed,1
3193917928,138348596,Directed,1
592007767,1018357813,Directed,1
181709561,1018357813,Directed,1
926535049,1018357813,Directed,1
1339439076,1018357813,Directed,1
2289439224,1018357813,Directed,1
401477209,2874955830,Directed,1
237300872,2874955830,Directed,1
195830419,2874955830,Directed,1
400393919,2874955830,Directed,1
764021907171663872,2874955830,Directed,1
4759048456,2874955830,Directed,1
2304802170,2874955830,Directed,1
501944828,2874955830,Directed,1
930518624,2980948026,Directed,1
53332060,2980948026,Directed,1
621285612,2980948026,Directed,1
181709561,2980948026,Directed,1
106853150,2980948026,Directed,1
344992558,2980948026,Directed,1
138098169,2980948026,Directed,1
67318883,1337342689,Directed,1
106853150,1337342689,Directed,1
231187264,1337342689,Directed,1
1524419966,1337342689,Directed,1
551174114,1337342689,Directed,1
75919854,1337342689,Directed,1
335553215,221370428,Directed,1
452944514,221370428,Directed,1
69729458,221370428,Directed,1
1524419966,221370428,Directed,1
704783919930068994,2380171328,Directed,1
195830419,2380171328,Directed,1
574221482,2380171328,Directed,1
755316620,2380171328,Directed,1
1308602820,2380171328,Directed,1
3558853576,2380171328,Directed,1
782277126468825089,3026720096,Directed,1
2747566647,3026720096,Directed,1
2748923637,3026720096,Directed,1
2723185474,3026720096,Directed,1
4124637371,3026720096,Directed,1
737056442,4656142402,Directed,1
764021907171663872,4656142402,Directed,1
1004909329,4656142402,Directed,1
774339360,4656142402,Directed,1
3248658911,4656142402,Directed,1
350224188,4656142402,Directed,1
169122143,4656142402,Directed,1
2163310968,4656142402,Directed,1
926535049,4656142402,Directed,1
175334832,4656142402,Directed,1
1339439076,4656142402,Directed,1
2422623238,214511627,Directed,1
4040881750,214511627,Directed,1
592007767,214511627,Directed,1
237300872,214511627,Directed,1
1040695459,214511627,Directed,1
69729458,214511627,Directed,1
290650341,214511627,Directed,1
621285612,214511627,Directed,1
181709561,214511627,Directed,1
344992558,214511627,Directed,1
3248658911,214511627,Directed,1
630367566,214511627,Directed,1
169122143,214511627,Directed,1
626328552,214511627,Directed,1
926535049,214511627,Directed,1
903639980,214511627,Directed,1
1558004148,214511627,Directed,1
2289439224,214511627,Directed,1
138098169,214511627,Directed,1
452944514,191668292,Directed,1
797971200,191668292,Directed,1
630367566,191668292,Directed,1
2740742208,737484470,Directed,1
203065438,737484470,Directed,1
598187305,737484470,Directed,1
797971200,185378886,Directed,1
175334832,185378886,Directed,1
551174114,185378886,Directed,1
195830419,127500359,Directed,1
630367566,127500359,Directed,1
501944828,127500359,Directed,1
4249561767,762683270966411264,Directed,1
236918471,762683270966411264,Directed,1
1092215178,762683270966411264,Directed,1
67318883,278472777,Directed,1
797971200,278472777,Directed,1
630367566,278472777,Directed,1
704783919930068994,228188235,Directed,1
401477209,228188235,Directed,1
195830419,228188235,Directed,1
574221482,228188235,Directed,1
344992558,228188235,Directed,1
169122143,228188235,Directed,1
2163310968,228188235,Directed,1
755316620,228188235,Directed,1
1308602820,228188235,Directed,1
501944828,228188235,Directed,1
288246284,3125041228,Directed,1
401477209,3125041228,Directed,1
227821453,3125041228,Directed,1
32660008,2851502093,Directed,1
2333848675,2851502093,Directed,1
795078984,2851502093,Directed,1
630367566,2851502093,Directed,1
551174114,2851502093,Directed,1
461280342,377901136,Directed,1
2422623238,377901136,Directed,1
288246284,377901136,Directed,1
2740742208,377901136,Directed,1
930518624,377901136,Directed,1
114288729,377901136,Directed,1
53332060,377901136,Directed,1
203065438,377901136,Directed,1
1031704176,377901136,Directed,1
237300872,377901136,Directed,1
1040695459,377901136,Directed,1
106086098,377901136,Directed,1
621285612,377901136,Directed,1
181709561,377901136,Directed,1
371736833,377901136,Directed,1
849339692,377901136,Directed,1
344992558,377901136,Directed,1
707938812916330496,377901136,Directed,1
926535049,377901136,Directed,1
227821453,377901136,Directed,1
1686757266,377901136,Directed,1
501944828,377901136,Directed,1
592007767,193458531,Directed,1
625979067,193458531,Directed,1
849339692,193458531,Directed,1
1004909329,193458531,Directed,1
1543913862,193458531,Directed,1
67318883,415088724,Directed,1
246973630,415088724,Directed,1
598187305,415088724,Directed,1
797971200,415088724,Directed,1
3404645212,415088724,Directed,1
551174114,415088724,Directed,1
53332060,3099809877,Directed,1
2333848675,3099809877,Directed,1
621285612,3099809877,Directed,1
371736833,3099809877,Directed,1
344992558,3099809877,Directed,1
3248658911,3099809877,Directed,1
169122143,3099809877,Directed,1
636429203,3099809877,Directed,1
32660008,113954902,Directed,1
106086098,113954902,Directed,1
533536556,113954902,Directed,1
630367566,113954902,Directed,1
1524419966,113954902,Directed,1
4249561767,189881254,Directed,1
625979067,189881254,Directed,1
236918471,189881254,Directed,1
1092215178,189881254,Directed,1
138098169,189881254,Directed,1
114288729,89682453,Directed,1
1543913862,89682453,Directed,1
250912657,89682453,Directed,1
1686757266,89682453,Directed,1
75919854,89682453,Directed,1
186600007,425096207,Directed,1
843246206,425096207,Directed,1
1363013874,425096207,Directed,1
1925093647,425096207,Directed,1
986846172,425096207,Directed,1
436181325,425096207,Directed,1
1558004148,425096207,Directed,1
34406866,425096207,Directed,1
2422623238,53332060,Directed,1
2333848675,53332060,Directed,1
237300872,53332060,Directed,1
371736833,53332060,Directed,1
3248658911,53332060,Directed,1
169122143,53332060,Directed,1
532567918,53332060,Directed,1
108036479,53332060,Directed,1
250912657,53332060,Directed,1
636429203,53332060,Directed,1
782277126468825089,737056442,Directed,1
930518624,737056442,Directed,1
67318883,737056442,Directed,1
203065438,737056442,Directed,1
2601258594,737056442,Directed,1
335553215,737056442,Directed,1
237300872,737056442,Directed,1
1941673615,737056442,Directed,1
400393919,737056442,Directed,1
106086098,737056442,Directed,1
233548506,737056442,Directed,1
290650341,737056442,Directed,1
322233579,737056442,Directed,1
181709561,737056442,Directed,1
764021907171663872,737056442,Directed,1
4759048456,737056442,Directed,1
849339692,737056442,Directed,1
106853150,737056442,Directed,1
533536556,737056442,Directed,1
2723185474,737056442,Directed,1
2940722500,737056442,Directed,1
2163310968,737056442,Directed,1
636429203,737056442,Directed,1
175334832,737056442,Directed,1
4124637371,737056442,Directed,1
38666681,737056442,Directed,1
1339439076,737056442,Directed,1
461280342,203065438,Directed,1
2422623238,203065438,Directed,1
288246284,203065438,Directed,1
2740742208,203065438,Directed,1
930518624,203065438,Directed,1
237300872,203065438,Directed,1
849339692,203065438,Directed,1
1004909329,203065438,Directed,1
345944506,203065438,Directed,1
4249561767,634452325,Directed,1
574221482,634452325,Directed,1
755316620,634452325,Directed,1
237300872,1735137378,Directed,1
236918471,1735137378,Directed,1
630367566,1735137378,Directed,1
1524419966,1735137378,Directed,1
175334832,1735137378,Directed,1
796800012122521600,1735137378,Directed,1
501944828,1735137378,Directed,1
849339692,1079409680,Directed,1
1543913862,1079409680,Directed,1
175334832,1079409680,Directed,1
345944506,1079409680,Directed,1
1339439076,1079409680,Directed,1
2811544063,1079409680,Directed,1
2333848675,392132706,Directed,1
630367566,392132706,Directed,1
1524419966,392132706,Directed,1
551174114,392132706,Directed,1
797971200,747725150313975808,Directed,1
630367566,747725150313975808,Directed,1
47148388,747725150313975808,Directed,1
175334832,747725150313975808,Directed,1
592007767,156784740,Directed,1
1031704176,156784740,Directed,1
1941673615,156784740,Directed,1
106086098,156784740,Directed,1
621285612,156784740,Directed,1
2748923637,156784740,Directed,1
598187305,156784740,Directed,1
797971200,156784740,Directed,1
371736833,156784740,Directed,1
764021907171663872,156784740,Directed,1
3108464907,156784740,Directed,1
106853150,156784740,Directed,1
533536556,156784740,Directed,1
344992558,156784740,Directed,1
630367566,156784740,Directed,1
3404645212,156784740,Directed,1
2163310968,156784740,Directed,1
1524419966,156784740,Directed,1
108036479,156784740,Directed,1
903639980,156784740,Directed,1
798600121,156784740,Directed,1
551174114,156784740,Directed,1
461280342,770041957,Directed,1
625979067,770041957,Directed,1
849339692,770041957,Directed,1
344992558,770041957,Directed,1
2422623238,97001574,Directed,1
288246284,97001574,Directed,1
1031704176,97001574,Directed,1
335553215,97001574,Directed,1
237300872,97001574,Directed,1
69729458,97001574,Directed,1
322233579,97001574,Directed,1
621285612,97001574,Directed,1
371736833,97001574,Directed,1
344992558,97001574,Directed,1
3248658911,97001574,Directed,1
350224188,97001574,Directed,1
169122143,97001574,Directed,1
2163310968,97001574,Directed,1
926535049,97001574,Directed,1
4893140956,97001574,Directed,1
67318883,127341585,Directed,1
630367566,127341585,Directed,1
75919854,127341585,Directed,1
53332060,334815338,Directed,1
335553215,334815338,Directed,1
843246206,334815338,Directed,1
69729458,334815338,Directed,1
344161473,334815338,Directed,1
233548506,334815338,Directed,1
344992558,334815338,Directed,1
108036479,334815338,Directed,1
1686757266,334815338,Directed,1
80641348,334815338,Directed,1
1040695459,2319288679,Directed,1
1004909329,2319288679,Directed,1
2566158898,2319288679,Directed,1
903639980,2319288679,Directed,1
1558004148,2319288679,Directed,1
1031704176,1286082668,Directed,1
1004909329,1286082668,Directed,1
891177368,1286082668,Directed,1
797971200,44990397,Directed,1
231187264,44990397,Directed,1
1524419966,44990397,Directed,1
1031704176,98857070,Directed,1
335553215,98857070,Directed,1
106086098,98857070,Directed,1
290650341,98857070,Directed,1
106853150,98857070,Directed,1
344992558,98857070,Directed,1
2163310968,98857070,Directed,1
227821453,98857070,Directed,1
1686757266,98857070,Directed,1
798600121,98857070,Directed,1
4893140956,98857070,Directed,1
501944828,98857070,Directed,1
2422623238,256163951,Directed,1
401477209,256163951,Directed,1
1031704176,256163951,Directed,1
344992558,256163951,Directed,1
108036479,256163951,Directed,1
227821453,256163951,Directed,1
2747566647,167082097,Directed,1
4249561767,167082097,Directed,1
290650341,167082097,Directed,1
322233579,167082097,Directed,1
2723185474,167082097,Directed,1
630367566,167082097,Directed,1
2163310968,167082097,Directed,1
1092215178,167082097,Directed,1
175334832,167082097,Directed,1
138098169,167082097,Directed,1
2690340858,167082097,Directed,1
32660008,146958450,Directed,1
67318883,146958450,Directed,1
2748923637,146958450,Directed,1
598187305,146958450,Directed,1
181709561,146958450,Directed,1
797971200,146958450,Directed,1
294753579,146958450,Directed,1
231187264,146958450,Directed,1
175334832,146958450,Directed,1
852527832198770690,146958450,Directed,1
551174114,146958450,Directed,1
75919854,146958450,Directed,1
67318883,124176500,Directed,1
231187264,124176500,Directed,1
1524419966,124176500,Directed,1
2422623238,699661667861458944,Directed,1
401477209,699661667861458944,Directed,1
4040881750,699661667861458944,Directed,1
114288729,699661667861458944,Directed,1
2333848675,699661667861458944,Directed,1
335553215,699661667861458944,Directed,1
452944514,699661667861458944,Directed,1
195830419,699661667861458944,Directed,1
1040695459,699661667861458944,Directed,1
69729458,699661667861458944,Directed,1
344161473,699661667861458944,Directed,1
294753579,699661667861458944,Directed,1
1308602820,699661667861458944,Directed,1
335553215,3179778166,Directed,1
195830419,3179778166,Directed,1
625979067,3179778166,Directed,1
2748923637,3179778166,Directed,1
294753579,3179778166,Directed,1
2163310968,3179778166,Directed,1
2717217147,3179778166,Directed,1
1092215178,3179778166,Directed,1
551174114,3179778166,Directed,1
75919854,3179778166,Directed,1
2690340858,3179778166,Directed,1
67318883,1641470071,Directed,1
598187305,1641470071,Directed,1
294753579,1641470071,Directed,1
231187264,1641470071,Directed,1
630367566,1641470071,Directed,1
1524419966,1641470071,Directed,1
75919854,1641470071,Directed,1
53332060,2429218938,Directed,1
1031704176,2429218938,Directed,1
371736833,2429218938,Directed,1
707938812916330496,2429218938,Directed,1
900508574,2429218938,Directed,1
4759048456,400393919,Directed,1
2304802170,400393919,Directed,1
755316620,400393919,Directed,1
1308602820,400393919,Directed,1
345310824,2869260416,Directed,1
322233579,2869260416,Directed,1
2748923637,2869260416,Directed,1
350224188,2869260416,Directed,1
2163310968,2869260416,Directed,1
401477209,74152640,Directed,1
1031704176,74152640,Directed,1
237300872,74152640,Directed,1
621285612,74152640,Directed,1
371736833,74152640,Directed,1
344992558,74152640,Directed,1
926535049,74152640,Directed,1
227821453,74152640,Directed,1
1686757266,74152640,Directed,1
4893140956,74152640,Directed,1
288246284,299137155,Directed,1
2740742208,299137155,Directed,1
592007767,299137155,Directed,1
729769684883615744,299137155,Directed,1
849339692,299137155,Directed,1
1686757266,299137155,Directed,1
236918471,308493334,Directed,1
290650341,308493334,Directed,1
75919854,308493334,Directed,1
425096207,757576794123931648,Directed,1
236918471,757576794123931648,Directed,1
2304802170,757576794123931648,Directed,1
926535049,757576794123931648,Directed,1
335553215,234536504,Directed,1
621285612,234536504,Directed,1
344992558,234536504,Directed,1
532567918,234536504,Directed,1
227821453,234536504,Directed,1
1686757266,234536504,Directed,1
3193917928,234536504,Directed,1
401477209,566312300,Directed,1
630367566,566312300,Directed,1
2163310968,566312300,Directed,1
227821453,566312300,Directed,1
782277126468825089,1666891914,Directed,1
288246284,1666891914,Directed,1
32660008,1666891914,Directed,1
930518624,1666891914,Directed,1
186600007,1666891914,Directed,1
67318883,1666891914,Directed,1
53332060,1666891914,Directed,1
2601258594,1666891914,Directed,1
345310824,1666891914,Directed,1
335553215,1666891914,Directed,1
1941673615,1666891914,Directed,1
1040695459,1666891914,Directed,1
69729458,1666891914,Directed,1
737056442,1666891914,Directed,1
400393919,1666891914,Directed,1
236918471,1666891914,Directed,1
106086098,1666891914,Directed,1
233548506,1666891914,Directed,1
322233579,1666891914,Directed,1
411064560,1666891914,Directed,1
4759048456,1666891914,Directed,1
849339692,1666891914,Directed,1
106853150,1666891914,Directed,1
533536556,1666891914,Directed,1
2566158898,1666891914,Directed,1
344992558,1666891914,Directed,1
350224188,1666891914,Directed,1
231187264,1666891914,Directed,1
2723185474,1666891914,Directed,1
2940722500,1666891914,Directed,1
795078984,1666891914,Directed,1
630367566,1666891914,Directed,1
169122143,1666891914,Directed,1
47148388,1666891914,Directed,1
626328552,1666891914,Directed,1
2163310968,1666891914,Directed,1
2304802170,1666891914,Directed,1
1524419966,1666891914,Directed,1
926535049,1666891914,Directed,1
250912657,1666891914,Directed,1
636429203,1666891914,Directed,1
175334832,1666891914,Directed,1
38666681,1666891914,Directed,1
796800012122521600,1666891914,Directed,1
551174114,1666891914,Directed,1
2690340858,1666891914,Directed,1
704783919930068994,339857547,Directed,1
4040881750,339857547,Directed,1
53332060,339857547,Directed,1
2333848675,339857547,Directed,1
335553215,339857547,Directed,1
237300872,339857547,Directed,1
1040695459,339857547,Directed,1
625979067,339857547,Directed,1
344161473,339857547,Directed,1
236918471,339857547,Directed,1
290650341,339857547,Directed,1
630367566,339857547,Directed,1
3404645212,339857547,Directed,1
532567918,339857547,Directed,1
626328552,339857547,Directed,1
2304802170,339857547,Directed,1
1524419966,339857547,Directed,1
108036479,339857547,Directed,1
1686757266,339857547,Directed,1
4893140956,339857547,Directed,1
501944828,339857547,Directed,1
53332060,2366957715,Directed,1
2333848675,2366957715,Directed,1
344161473,2366957715,Directed,1
169122143,2366957715,Directed,1
1040695459,757461140,Directed,1
2163310968,757461140,Directed,1
1543913862,757461140,Directed,1
755316620,757461140,Directed,1
903639980,757461140,Directed,1
1558004148,757461140,Directed,1
630367566,245471410,Directed,1
1686757266,245471410,Directed,1
75919854,245471410,Directed,1
67318883,2370791575,Directed,1
2413096084,2370791575,Directed,1
797971200,2370791575,Directed,1
4124637371,2370791575,Directed,1
452944514,3503304856,Directed,1
4249561767,3503304856,Directed,1
796800012122521600,3503304856,Directed,1
2333848675,165159065,Directed,1
1040695459,165159065,Directed,1
69729458,165159065,Directed,1
625979067,165159065,Directed,1
344161473,165159065,Directed,1
236918471,165159065,Directed,1
106086098,165159065,Directed,1
3404645212,165159065,Directed,1
1524419966,165159065,Directed,1
108036479,165159065,Directed,1
1686757266,165159065,Directed,1
903639980,165159065,Directed,1
345944506,165159065,Directed,1
501944828,165159065,Directed,1
401477209,872491164,Directed,1
2163310968,872491164,Directed,1
227821453,872491164,Directed,1
704783919930068994,776353437919416320,Directed,1
401477209,776353437919416320,Directed,1
195830419,776353437919416320,Directed,1
574221482,776353437919416320,Directed,1
755316620,776353437919416320,Directed,1
231187264,1478766751,Directed,1
1524419966,1478766751,Directed,1
3193917928,1478766751,Directed,1
592007767,720976032,Directed,1
237300872,720976032,Directed,1
1040695459,720976032,Directed,1
2566158898,720976032,Directed,1
53332060,272623984,Directed,1
1363013874,272623984,Directed,1
849339692,272623984,Directed,1
636429203,272623984,Directed,1
2422623238,1040695459,Directed,1
4040881750,1040695459,Directed,1
592007767,1040695459,Directed,1
335553215,1040695459,Directed,1
195830419,1040695459,Directed,1
625979067,1040695459,Directed,1
236918471,1040695459,Directed,1
106086098,1040695459,Directed,1
475746939,1040695459,Directed,1
621285612,1040695459,Directed,1
3108464907,1040695459,Directed,1
1004909329,1040695459,Directed,1
774339360,1040695459,Directed,1
344992558,1040695459,Directed,1
3248658911,1040695459,Directed,1
795078984,1040695459,Directed,1
169122143,1040695459,Directed,1
2304802170,1040695459,Directed,1
1543913862,1040695459,Directed,1
1686757266,1040695459,Directed,1
903639980,1040695459,Directed,1
1558004148,1040695459,Directed,1
798600121,1040695459,Directed,1
852527832198770690,1040695459,Directed,1
1308602820,1040695459,Directed,1
501944828,1040695459,Directed,1
2422623238,173768868,Directed,1
2333848675,173768868,Directed,1
195830419,173768868,Directed,1
69729458,173768868,Directed,1
294753579,173768868,Directed,1
169122143,173768868,Directed,1
4759048456,939057318,Directed,1
350224188,939057318,Directed,1
250912657,939057318,Directed,1
891177368,939057318,Directed,1
175334832,939057318,Directed,1
501944828,939057318,Directed,1
475746939,103194791,Directed,1
344992558,103194791,Directed,1
926535049,103194791,Directed,1
592007767,3751948456,Directed,1
181709561,3751948456,Directed,1
