,id,label,politics,art,society,charity,interest
785,431649345,sehirliolmak,0.193717277486911,0.2356020942408377,0.387434554973822,0.18324607329842932,society
786,611652164,konevim,0,0,0,0,n/a
787,392132706,_apoikia,0,0,0,0,n/a
788,197929059,sinoypexas,0,0,0,0,n/a
789,712307286,azenginn,0,0,0,0,n/a
790,592007767,ebuzercaliskan,0.16666666666666666,0.2222222222222222,0.34444444444444444,0.26666666666666666,society
791,156784740,huseyintarik,0,0,0,0,n/a
792,4128428650,zeynebbus,0.1728395061728395,0.1728395061728395,0.4567901234567901,0.19753086419753085,society
793,569487980,ZuhalCevahir,0,0,0,0,n/a
794,837980784,mnsaylik,0,0,0,0,n/a
795,2978878071,sehirkedileri,0.15862068965517243,0.2206896551724138,0.3448275862068966,0.27586206896551724,society
796,1295872634,yesimksknn,0,0,0,0,n/a
797,475746939,yalcinn16,0.3050847457627119,0.0903954802259887,0.23728813559322035,0.3672316384180791,charity
798,833776048487677956,feyzanr_tastkne,0.13445378151260504,0.058823529411764705,0.25210084033613445,0.5546218487394958,charity
799,487674498,abbassem,0.16666666666666666,0.23333333333333334,0.38333333333333336,0.21666666666666667,society
800,2151420548,berendaz,0.14189189189189189,0.0945945945945946,0.3716216216216216,0.3918918918918919,charity
801,217502347,tklhc,0,0,0,0,n/a
802,1110823566,sehirlibrary,0.06329113924050633,0.17721518987341772,0.6772151898734177,0.08227848101265822,society
803,811192358645760001,SGormezdengelme,0.0,0.0,0.0,1.0,charity
804,185815714,edanurbeyoglu,0.15,0.12222222222222222,0.4,0.3277777777777778,society
805,2413007525,nurbikhasta,0.10625,0.225,0.4375,0.23125,society
806,52171453,aytenkoldemir,0.19607843137254902,0.11764705882352941,0.35294117647058826,0.3333333333333333,society
807,443551180,irosehir,0.06666666666666667,0.4,0.3333333333333333,0.2,art
808,2670023370,dino_baggiooo,0.13953488372093023,0.3546511627906977,0.313953488372093,0.19186046511627908,art
809,2861036241,suigenerisloris,0.10135135135135136,0.17567567567567569,0.43243243243243246,0.2905405405405405,society
810,792706597130735616,bilen_hacer,0.0,1.0,0.0,0.0,art
811,299758302,FurkanAkbal,0.23391812865497075,0.11695906432748537,0.2573099415204678,0.391812865497076,charity
812,186225377,nibenka,0.35384615384615387,0.12307692307692308,0.18461538461538463,0.3384615384615385,politics
813,312726242,amerikabulteni,0.36683417085427134,0.23618090452261306,0.21608040201005024,0.18090452261306533,politics
814,72020710,besincimevsim,0,0,0,0,n/a
815,133878521,Yahyayacoob,0,0,0,0,n/a
816,407106298,uludagTayyip,0,0,0,0,n/a
817,333239038,N_Rsena,0,0,0,0,n/a
818,797971200,NurullahArdic,0,0,0,0,n/a
819,1004909329,cokmukomiksert,0.11398963730569948,0.23316062176165803,0.38341968911917096,0.2694300518134715,society
